id,asin,image_url,title,categories
0,0007350813,"https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Wuthering Heights (Collins Classics),Literature & Fiction
1,0007513763,"https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",THE DAYS THE CRAYONS QUIT,Children's Books
2,0008183988,"https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",War Lord: Book 13 (The Last Kingdom Series),Literature & Fiction
3,0008305838,"https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,Children's Books
4,0008375526,"https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,"Crafts, Hobbies & Home"
5,0008387753,"https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",The Hobbit & The Lord of the Rings Boxed Set,Literature & Fiction
6,0008433941,"https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Silmarillion,Literature & Fiction
7,0060244887,"https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",The Chronicles of Narnia (Box Set),Children's Books
8,0060254920,"https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Where the Wild Things Are,Children's Books
9,0060256656,"https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Giving Tree,Children's Books
10,0060555661,"https://images-na.ssl-images-amazon.com/images/I/41vQ4DGEmoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,Business & Money
11,0062429078,"https://images-na.ssl-images-amazon.com/images/I/51059l63ziL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Pretty Girls,"Mystery, Thriller & Suspense"
12,0060652888,"https://images-na.ssl-images-amazon.com/images/I/41u+v3YL9xL._SY344_BO1,204,203,200_.jpg",Mere Christianity,Christian Books & Bibles
13,0060652926,"https://images-na.ssl-images-amazon.com/images/I/41g3X1zwbfL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Mere Christianity,Christian Books & Bibles
14,0062909711,"https://images-na.ssl-images-amazon.com/images/I/41vHpaHqqqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)","Health, Fitness & Dieting"
15,0062439596,"https://images-na.ssl-images-amazon.com/images/I/51kFZTPkczL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Hating Game: A Novel,Humor & Entertainment
16,0062931067,"https://images-na.ssl-images-amazon.com/images/I/41SrQ9us8GL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Just as I Am: A Memoir,Biographies & Memoirs
17,0061992275,"https://images-na.ssl-images-amazon.com/images/I/51oG306ACnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The One and Only Ivan,Children's Books
18,0061992887,"https://images-na.ssl-images-amazon.com/images/I/51HWQhWuSnL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Chronicles of Narnia Box Set,Children's Books
19,0140177396,"https://images-na.ssl-images-amazon.com/images/I/41OmKxmMLIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Of Mice and Men,Politics & Social Sciences
20,0140186425,"https://images-na.ssl-images-amazon.com/images/I/41v7MONiyiS._SY291_BO1,204,203,200_QL40_ML2_.jpg",Of Mice and Men (Penguin Great Books of the 20th Century),Politics & Social Sciences
21,0062457713,"https://images-na.ssl-images-amazon.com/images/I/51mN3bY0JjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Self-Help
22,0062457799,"https://images-na.ssl-images-amazon.com/images/I/41KVwunVMvL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",They Both Die at the End,Teen & Young Adult
23,0062457802,"https://images-na.ssl-images-amazon.com/images/I/41yUDMiJ9JL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",They Both Die at the End,Teen & Young Adult
24,0062464310,"https://images-na.ssl-images-amazon.com/images/I/41MJoxwmKfL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Homo Deus: A Brief History of Tomorrow,History
25,0062464345,"https://images-na.ssl-images-amazon.com/images/I/41c-iQqDNSL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Homo Deus: A Brief History of Tomorrow,History
26,0062466593,"https://images-na.ssl-images-amazon.com/images/I/41dHJa3a6OL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),Religion & Spirituality
27,006246776X,"https://images-na.ssl-images-amazon.com/images/I/41o4ElxdqTL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",The Bad Seed (The Food Group),Children's Books
28,0062943472,"https://images-na.ssl-images-amazon.com/images/I/51tXM4TLUxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Rose Code: A Novel,Literature & Fiction
29,0062024027,"https://images-na.ssl-images-amazon.com/images/I/51dGX+odxcL._SY344_BO1,204,203,200_.jpg",Divergent,Teen & Young Adult
30,0062024043,"https://images-na.ssl-images-amazon.com/images/I/51h4JPR8ZIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Divergent / Insurgent,Teen & Young Adult
